car,move
AH,1
P,1
L,1
AB,-1
H,1
AJ,-1
AA,-1
AA,-1
AL,-1
AC,-1
AH,1
AI,-1
AC,-1
AF,-1
AE,1
W,1
AI,-1
AI,-1
W,1
W,1
AE,-1
Y,-1
U,1
AE,-1
U,1
N,1
U,1
N,1
U,1
Y,1
AE,1
AE,1
W,-1
W,-1
W,-1
AE,-1
AC,-1
AG,-1
AB,1
AQ,-1
AB,1
AB,1
AC,1
AC,1
AC,1
AB,-1
AB,-1
AG,1
AF,1
AB,-1
O,1
AC,-1
D,1
A,-1
B,-1
A,-1
A,-1
A,-1
D,-1
G,1
B,-1
AP,-1
I,-1
G,1
F,1
E,1
H,1
F,1
F,1
F,1
G,-1
O,-1
E,1
R,-1
N,-1
G,-1
X,-1
R,-1
AO,1
AC,-1
AK,-1
W,-1
AE,-1
M,-1
U,-1
N,-1
Y,-1
U,-1
U,-1
U,-1
AE,1
AF,-1
AE,1
Y,1
W,1
W,1
S,1
Q,1
W,1
W,1
AE,-1
T,-1
X,1
Y,-1
AE,-1
U,1
U,1
U,1
N,1
U,1
AN,-1
AM,1
W,1
Y,1
AI,1
AE,1
AD,1
V,1
Q,1
Q,1
Q,1
Q,1
V,-1
AC,-1
AM,1
AO,1
AM,1
AR,-1
AO,1
AM,1
AN,1
AB,1
AG,-1
AB,1
AS,-1
AS,-1
AS,-1
AB,-1
K,1
N,1
Y,-1
N,1
AG,1
T,-1
AF,1
X,1
X,1
X,1
AA,-1
X,1
X,1
X,1
X,1
X,1
