car,move
AH,1
AB,-1
AL,-1
O,1
D,1
A,-1
P,1
A,-1
B,-1
H,1
B,-1
AC,-1
A,-1
A,-1
A,-1
D,-1
G,-1
AH,1
F,1
E,1
I,-1
H,1
F,1
F,1
F,1
E,1
R,-1
O,-1
R,-1
X,-1
W,-1
Y,-1
U,1
AI,-1
M,-1
AE,-1
U,1
U,1
Y,1
AA,-1
AC,-1
L,1
AA,-1
AF,-1
K,1
AA,-1
T,-1
AC,-1
AB,1
AG,-1
W,1
X,1
T,-1
X,1
AB,1
AS,-1
AS,-1
X,1
AS,-1
AB,-1
AG,1
AF,1
X,1
X,1
X,1
X,1
X,1
X,1
