car,move
P,1
AJ,-1
AH,1
AB,-1
AC,-1
AA,-1
AP,-1
J,1
AF,-1
AN,-1
AQ,-1
AO,1
AC,-1
AM,1
AM,1
AK,-1
AR,-1
AO,1
AM,1
AO,1
AM,1
AN,1
AG,-1
AC,-1
AB,1
AB,1
AS,-1
AA,-1
AS,-1
AS,-1
AB,-1
AQ,-1
AG,1
AF,1
O,1
D,1
A,-1
B,-1
J,1
J,1
A,-1
L,1
B,-1
I,-1
H,1
A,-1
A,-1
D,-1
A,-1
G,-1
F,1
F,1
F,1
H,1
F,1
H,1
E,1
E,1
O,-1
AL,-1
AH,1
AF,-1
AN,-1
R,-1
AM,-1
X,-1
R,-1
AM,-1
AM,-1
AM,-1
AQ,-1
F,1
K,1
AA,-1
AA,-1
AA,-1
AN,1
AK,-1
K,-1
AR,-1
AP,1
AJ,1
L,-1
J,-1
AK,-1
AR,-1
AJ,1
AJ,1
W,-1
AP,-1
AO,-1
AO,-1
AO,-1
AP,1
AJ,-1
AR,1
AK,1
J,1
L,1
K,1
AA,1
AI,-1
Y,-1
AA,1
AA,1
K,-1
F,-1
H,-1
L,-1
J,-1
J,-1
J,-1
J,-1
L,1
K,1
AA,-1
H,1
F,1
AA,-1
AA,-1
AA,-1
F,-1
AF,1
O,1
F,-1
F,-1
AA,1
AA,1
AA,1
F,1
F,1
O,-1
U,1
AE,-1
U,1
U,1
M,-1
Y,1
T,-1
T,-1
W,1
X,1
X,1
X,1
X,1
X,1
X,1
X,1
X,1
X,1
